SuperWEB2(tm)

"Household"
"Household composition - 10 groups, collapsed, Household composition - 4 groups, collapsed, Type of accomodation and Type of accomodation - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Counting","Household composition - 10 groups, collapsed","Household composition - 4 groups, collapsed","Type of accomodation","Type of accomodation - 3 groups, collapsed","Count",
"Households","One person household: Aged 66 and over","One person household","Whole house or bungalow: Detached","Whole house or bungalow",72236
"Households","One person household: Aged 66 and over","One person household","Whole house or bungalow: Detached","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One person household","Whole house or bungalow: Detached","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One person household","Whole house or bungalow: Semi-detached","Whole house or bungalow",85057
"Households","One person household: Aged 66 and over","One person household","Whole house or bungalow: Semi-detached","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One person household","Whole house or bungalow: Semi-detached","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One person household","Whole house or bungalow: Terraced (including end-terrace)","Whole house or bungalow",70016
"Households","One person household: Aged 66 and over","One person household","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One person household","Whole house or bungalow: Terraced (including end-terrace)","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One person household","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One person household","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment",123190
"Households","One person household: Aged 66 and over","One person household","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One person household","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One person household","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment",6116
"Households","One person household: Aged 66 and over","One person household","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One person household","Flat, maisonette or apartment: In a commercial building","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One person household","Flat, maisonette or apartment: In a commercial building","Flat, maisonette or apartment",895
"Households","One person household: Aged 66 and over","One person household","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One person household","Caravan or other mobile or temporary structure","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One person household","Caravan or other mobile or temporary structure","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One person household","Caravan or other mobile or temporary structure","Caravan or other mobile or temporary structure",874
"Households","One person household: Aged 66 and over","One family household: Couple family","Whole house or bungalow: Detached","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Whole house or bungalow: Detached","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Whole house or bungalow: Detached","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Whole house or bungalow: Semi-detached","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Whole house or bungalow: Semi-detached","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Whole house or bungalow: Semi-detached","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Whole house or bungalow: Terraced (including end-terrace)","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Whole house or bungalow: Terraced (including end-terrace)","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Flat, maisonette or apartment: In a commercial building","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Flat, maisonette or apartment: In a commercial building","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Caravan or other mobile or temporary structure","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Caravan or other mobile or temporary structure","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One family household: Couple family","Caravan or other mobile or temporary structure","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Whole house or bungalow: Detached","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Whole house or bungalow: Detached","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Whole house or bungalow: Detached","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Whole house or bungalow: Semi-detached","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Whole house or bungalow: Semi-detached","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Whole house or bungalow: Semi-detached","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Whole house or bungalow: Terraced (including end-terrace)","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Whole house or bungalow: Terraced (including end-terrace)","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Flat, maisonette or apartment: In a commercial building","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Flat, maisonette or apartment: In a commercial building","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Caravan or other mobile or temporary structure","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Caravan or other mobile or temporary structure","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","One family household: Lone parent","Caravan or other mobile or temporary structure","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","Other household types","Whole house or bungalow: Detached","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","Other household types","Whole house or bungalow: Detached","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","Other household types","Whole house or bungalow: Detached","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","Other household types","Whole house or bungalow: Semi-detached","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","Other household types","Whole house or bungalow: Semi-detached","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","Other household types","Whole house or bungalow: Semi-detached","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","Other household types","Whole house or bungalow: Terraced (including end-terrace)","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","Other household types","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","Other household types","Whole house or bungalow: Terraced (including end-terrace)","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","Other household types","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Whole house or bungalow",0
"Households","One person household: Aged 66 and over","Other household types","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment",0
"Households","One person household: Aged 66 and over","Other household types","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Caravan or other mobile or temporary structure",0
"Households","One person household: Aged 66 and over","Other household types","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Whole house or bungalow",0
